GO Annotation ID,GO Annotation Name,Umbrella Annotation Names,Count of OGs with Annotation,Proportion of OGs with Annotation
GO:0042274,ribosomal small subunit biogenesis,cellular process,18,0.0006778384485031068
GO:0009641,shade avoidance,response to stimulus,18,0.0006778384485031068
GO:0000245,spliceosomal complex assembly,"cellular process,cellular component organization",18,0.0006778384485031068
GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway","cellular process,metabolic process",18,0.0006778384485031068
GO:0046718,viral entry into host cell,none,18,0.0006778384485031068
GO:0032456,endocytic recycling,"localization,cellular process",18,0.0006778384485031068
GO:0048281,inflorescence morphogenesis,developmental process,18,0.0006778384485031068
GO:0033499,galactose catabolic process via UDP-galactose,metabolic process,18,0.0006778384485031068
GO:0000387,spliceosomal snRNP assembly,"cellular process,cellular component organization",18,0.0006778384485031068
GO:0000727,double-strand break repair via break-induced replication,"cellular process,metabolic process,response to stimulus",18,0.0006778384485031068
GO:0010039,response to iron ion,response to stimulus,18,0.0006778384485031068
GO:0051259,protein complex oligomerization,"cellular process,cellular component organization",18,0.0006778384485031068
GO:0006097,glyoxylate cycle,"cellular process,metabolic process",18,0.0006778384485031068
GO:0006665,sphingolipid metabolic process,"cellular process,metabolic process",18,0.0006778384485031068
GO:0010507,negative regulation of autophagy,"cellular process,metabolic process,biological regulation",18,0.0006778384485031068
GO:0009423,chorismate biosynthetic process,"cellular process,metabolic process",18,0.0006778384485031068
GO:0045927,positive regulation of growth,biological regulation,18,0.0006778384485031068
GO:0010116,positive regulation of abscisic acid biosynthetic process,"metabolic process,cellular process,biological regulation",18,0.0006778384485031068
GO:0007041,lysosomal transport,"localization,cellular process",18,0.0006778384485031068
GO:0030242,autophagy of peroxisome,"cellular process,metabolic process",18,0.0006778384485031068
GO:0000055,ribosomal large subunit export from nucleus,"localization,cellular process",18,0.0006778384485031068
GO:0090696,post-embryonic plant organ development,developmental process,18,0.0006778384485031068
GO:0006782,protoporphyrinogen IX biosynthetic process,"cellular process,metabolic process",18,0.0006778384485031068
GO:2000032,regulation of secondary shoot formation,"biological regulation,developmental process",18,0.0006778384485031068
GO:1900459,positive regulation of brassinosteroid mediated signaling pathway,"cellular process,signaling,biological regulation,response to stimulus",18,0.0006778384485031068
GO:0006744,ubiquinone biosynthetic process,"cellular process,metabolic process",18,0.0006778384485031068
GO:0065003,protein-containing complex assembly,"cellular process,cellular component organization",18,0.0006778384485031068
GO:0048564,photosystem I assembly,"cellular process,cellular component organization",17,0.0006401807569196008
GO:0000470,maturation of LSU-rRNA,"cellular process,metabolic process",17,0.0006401807569196008
GO:0071897,DNA biosynthetic process,"metabolic process,cellular process",17,0.0006401807569196008
GO:0060321,acceptance of pollen,cellular process,17,0.0006401807569196008
GO:0048829,root cap development,developmental process,17,0.0006401807569196008
GO:0043928,exonucleolytic catabolism of deadenylated mRNA,"metabolic process,cellular process,biological regulation",17,0.0006401807569196008
GO:0031124,mRNA 3'-end processing,"cellular process,metabolic process",17,0.0006401807569196008
GO:0009772,photosynthetic electron transport in photosystem II,"metabolic process,cellular process",17,0.0006401807569196008
GO:0048827,phyllome development,developmental process,17,0.0006401807569196008
GO:0009647,skotomorphogenesis,response to stimulus,17,0.0006401807569196008
GO:0015996,chlorophyll catabolic process,"metabolic process,cellular process",17,0.0006401807569196008
GO:0010337,regulation of salicylic acid metabolic process,"cellular process,metabolic process,biological regulation",17,0.0006401807569196008
GO:0008333,endosome to lysosome transport,"localization,cellular process",17,0.0006401807569196008
GO:0051555,flavonol biosynthetic process,metabolic process,17,0.0006401807569196008
GO:0007568,aging,developmental process,17,0.0006401807569196008
GO:0030261,chromosome condensation,"cellular process,cellular component organization",17,0.0006401807569196008
GO:0006368,transcription elongation from RNA polymerase II promoter,"cellular process,metabolic process",17,0.0006401807569196008
GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","cellular process,metabolic process",17,0.0006401807569196008
GO:0048497,maintenance of floral organ identity,"cellular process,biological regulation,developmental process",17,0.0006401807569196008
GO:0031398,positive regulation of protein ubiquitination,"metabolic process,cellular process,biological regulation",17,0.0006401807569196008
GO:0009729,detection of brassinosteroid stimulus,response to stimulus,17,0.0006401807569196008
GO:0030970,"retrograde protein transport, ER to cytosol","cellular process,localization",17,0.0006401807569196008
GO:0072593,reactive oxygen species metabolic process,"cellular process,metabolic process",17,0.0006401807569196008
GO:1905393,plant organ formation,developmental process,17,0.0006401807569196008
GO:0042276,error-prone translesion synthesis,"metabolic process,cellular process,response to stimulus",17,0.0006401807569196008
GO:0010206,photosystem II repair,"cellular process,metabolic process",17,0.0006401807569196008
GO:0016558,protein import into peroxisome matrix,"localization,cellular process,cellular component organization",17,0.0006401807569196008
GO:0010452,histone H3-K36 methylation,"cellular process,metabolic process,cellular component organization",17,0.0006401807569196008
GO:0009612,response to mechanical stimulus,response to stimulus,17,0.0006401807569196008
GO:0000070,mitotic sister chromatid segregation,"cellular process,cellular component organization",17,0.0006401807569196008
GO:0046685,response to arsenic-containing substance,response to stimulus,17,0.0006401807569196008
GO:0043489,RNA stabilization,"metabolic process,cellular process,biological regulation",17,0.0006401807569196008
GO:0010225,response to UV-C,response to stimulus,17,0.0006401807569196008
GO:0006882,cellular zinc ion homeostasis,"cellular process,biological regulation",17,0.0006401807569196008
GO:0010148,transpiration,localization,17,0.0006401807569196008
GO:0045088,regulation of innate immune response,"biological regulation,response to stimulus",17,0.0006401807569196008
GO:0006032,chitin catabolic process,metabolic process,17,0.0006401807569196008
GO:0010093,specification of floral organ identity,developmental process,17,0.0006401807569196008
GO:0002213,defense response to insect,response to stimulus,17,0.0006401807569196008
GO:0006189,'de novo' IMP biosynthetic process,"metabolic process,cellular process",17,0.0006401807569196008
GO:0003006,developmental process involved in reproduction,developmental process,17,0.0006401807569196008
GO:0006075,(1->3)-beta-D-glucan biosynthetic process,"metabolic process,cellular process",17,0.0006401807569196008
GO:0006900,vesicle budding from membrane,"cellular process,cellular component organization",17,0.0006401807569196008
GO:0048268,clathrin coat assembly,"cellular process,cellular component organization",17,0.0006401807569196008
GO:0043248,proteasome assembly,"cellular process,cellular component organization",17,0.0006401807569196008
GO:0009704,de-etiolation,response to stimulus,17,0.0006401807569196008
GO:0010050,vegetative phase change,none,17,0.0006401807569196008
GO:0010023,proanthocyanidin biosynthetic process,"cellular process,metabolic process",17,0.0006401807569196008
GO:0048015,phosphatidylinositol-mediated signaling,"biological regulation,cellular process",17,0.0006401807569196008
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","metabolic process,cellular process",16,0.0006025230653360949
GO:0000919,cell plate assembly,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0006513,protein monoubiquitination,"cellular process,metabolic process",16,0.0006025230653360949
GO:0009765,"photosynthesis, light harvesting","metabolic process,cellular process",16,0.0006025230653360949
GO:0006312,mitotic recombination,"cellular process,metabolic process",16,0.0006025230653360949
GO:0009920,cell plate formation involved in plant-type cell wall biogenesis,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0006656,phosphatidylcholine biosynthetic process,"metabolic process,cellular process",16,0.0006025230653360949
GO:1901698,response to nitrogen compound,response to stimulus,16,0.0006025230653360949
GO:0000413,protein peptidyl-prolyl isomerization,"cellular process,metabolic process",16,0.0006025230653360949
GO:0009861,jasmonic acid and ethylene-dependent systemic resistance,response to stimulus,16,0.0006025230653360949
GO:0030026,cellular manganese ion homeostasis,"cellular process,biological regulation",16,0.0006025230653360949
GO:0048759,xylem vessel member cell differentiation,"developmental process,cellular process",16,0.0006025230653360949
GO:0031297,replication fork processing,"cellular process,metabolic process",16,0.0006025230653360949
GO:0006383,transcription by RNA polymerase III,"cellular process,metabolic process",16,0.0006025230653360949
GO:0034389,lipid droplet organization,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0071705,nitrogen compound transport,localization,16,0.0006025230653360949
GO:0006812,cation transport,localization,16,0.0006025230653360949
GO:0006621,protein retention in ER lumen,"biological regulation,localization,cellular process",16,0.0006025230653360949
GO:0034087,establishment of mitotic sister chromatid cohesion,cellular process,16,0.0006025230653360949
GO:0006820,anion transport,localization,16,0.0006025230653360949
GO:0060271,cilium assembly,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0071712,ER-associated misfolded protein catabolic process,"metabolic process,cellular process,response to stimulus",16,0.0006025230653360949
GO:0043486,histone exchange,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0080148,negative regulation of response to water deprivation,"biological regulation,response to stimulus",16,0.0006025230653360949
GO:0010018,far-red light signaling pathway,"cellular process,biological regulation,response to stimulus",16,0.0006025230653360949
GO:0007409,axonogenesis,"cellular process,developmental process,cellular component organization",16,0.0006025230653360949
GO:0016024,CDP-diacylglycerol biosynthetic process,"cellular process,metabolic process",16,0.0006025230653360949
GO:0009395,phospholipid catabolic process,"cellular process,metabolic process",16,0.0006025230653360949
GO:0006997,nucleus organization,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0009657,plastid organization,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0010310,regulation of hydrogen peroxide metabolic process,"biological regulation,cellular process,metabolic process",16,0.0006025230653360949
GO:0006611,protein export from nucleus,"cellular process,localization",16,0.0006025230653360949
GO:0010336,gibberellic acid homeostasis,biological regulation,16,0.0006025230653360949
GO:0006559,L-phenylalanine catabolic process,"metabolic process,cellular process",16,0.0006025230653360949
GO:0031349,positive regulation of defense response,"biological regulation,response to stimulus",16,0.0006025230653360949
GO:1990641,response to iron ion starvation,response to stimulus,16,0.0006025230653360949
GO:0031145,anaphase-promoting complex-dependent catabolic process,"cellular process,metabolic process",16,0.0006025230653360949
GO:0052325,cell wall pectin biosynthetic process,"metabolic process,cellular process",16,0.0006025230653360949
GO:0006625,protein targeting to peroxisome,"localization,cellular process,cellular component organization",16,0.0006025230653360949
GO:0006491,N-glycan processing,"cellular process,metabolic process",16,0.0006025230653360949
GO:0019748,secondary metabolic process,metabolic process,16,0.0006025230653360949
GO:0061817,endoplasmic reticulum-plasma membrane tethering,"localization,cellular process",16,0.0006025230653360949
GO:0007029,endoplasmic reticulum organization,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0010262,somatic embryogenesis,developmental process,16,0.0006025230653360949
GO:0030150,protein import into mitochondrial matrix,"localization,cellular process",16,0.0006025230653360949
GO:0019684,"photosynthesis, light reaction","metabolic process,cellular process",16,0.0006025230653360949
GO:2000114,regulation of establishment of cell polarity,"biological regulation,cellular process",16,0.0006025230653360949
GO:0018107,peptidyl-threonine phosphorylation,"cellular process,metabolic process",16,0.0006025230653360949
GO:0032868,response to insulin,response to stimulus,16,0.0006025230653360949
GO:0009407,toxin catabolic process,"cellular process,metabolic process",16,0.0006025230653360949
GO:1900036,positive regulation of cellular response to heat,"cellular process,biological regulation,response to stimulus",16,0.0006025230653360949
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,"biological regulation,cellular process",16,0.0006025230653360949
GO:0010389,regulation of G2/M transition of mitotic cell cycle,"cellular process,biological regulation",16,0.0006025230653360949
GO:0007140,male meiotic nuclear division,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0034622,cellular protein-containing complex assembly,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0048507,meristem development,developmental process,16,0.0006025230653360949
GO:0010375,stomatal complex patterning,none,16,0.0006025230653360949
GO:1905421,regulation of plant organ morphogenesis,"biological regulation,developmental process",16,0.0006025230653360949
GO:0007050,cell cycle arrest,"biological regulation,cellular process",16,0.0006025230653360949
GO:0009956,radial pattern formation,none,16,0.0006025230653360949
GO:0007032,endosome organization,"cellular process,cellular component organization",16,0.0006025230653360949
GO:0007584,response to nutrient,response to stimulus,15,0.000564865373752589
GO:0048208,COPII vesicle coating,"cellular process,cellular component organization",15,0.000564865373752589
GO:0046898,response to cycloheximide,response to stimulus,15,0.000564865373752589
GO:0071035,nuclear polyadenylation-dependent rRNA catabolic process,"metabolic process,cellular process",15,0.000564865373752589
GO:0045010,actin nucleation,"cellular component organization,cellular process,biological regulation",15,0.000564865373752589
GO:0043972,histone H3-K23 acetylation,"cellular process,metabolic process,cellular component organization",15,0.000564865373752589
GO:0070534,protein K63-linked ubiquitination,"cellular process,metabolic process",15,0.000564865373752589
GO:0019915,lipid storage,"biological regulation,localization",15,0.000564865373752589
GO:0019221,cytokine-mediated signaling pathway,"biological regulation,cellular process",15,0.000564865373752589
GO:0048658,anther wall tapetum development,developmental process,15,0.000564865373752589
GO:0032880,regulation of protein localization,"biological regulation,localization",15,0.000564865373752589
GO:0006796,phosphate-containing compound metabolic process,"metabolic process,cellular process",15,0.000564865373752589
GO:0010104,regulation of ethylene-activated signaling pathway,"cellular process,signaling,biological regulation,response to stimulus",15,0.000564865373752589
GO:0030334,regulation of cell migration,"cellular process,locomotion,biological regulation,localization",15,0.000564865373752589
GO:0016477,cell migration,"cellular process,locomotion",15,0.000564865373752589
GO:0006479,protein methylation,"cellular process,metabolic process",15,0.000564865373752589
GO:0010112,regulation of systemic acquired resistance,"biological regulation,response to stimulus",15,0.000564865373752589
GO:0045089,positive regulation of innate immune response,"biological regulation,response to stimulus",15,0.000564865373752589
GO:0017004,cytochrome complex assembly,"cellular process,cellular component organization",15,0.000564865373752589
GO:0046688,response to copper ion,response to stimulus,15,0.000564865373752589
GO:0006809,nitric oxide biosynthetic process,"cellular process,metabolic process",15,0.000564865373752589
GO:0043570,maintenance of DNA repeat elements,"cellular process,metabolic process,cellular component organization",15,0.000564865373752589
GO:1900458,negative regulation of brassinosteroid mediated signaling pathway,"cellular process,signaling,biological regulation,response to stimulus",15,0.000564865373752589
GO:0080009,mRNA methylation,"metabolic process,cellular process",15,0.000564865373752589
GO:1902066,regulation of cell wall pectin metabolic process,"metabolic process,biological regulation",15,0.000564865373752589
GO:0009051,"pentose-phosphate shunt, oxidative branch","cellular process,metabolic process",15,0.000564865373752589
GO:0009609,response to symbiotic bacterium,response to stimulus,15,0.000564865373752589
GO:0045824,negative regulation of innate immune response,"biological regulation,response to stimulus",15,0.000564865373752589
GO:0009690,cytokinin metabolic process,"biological regulation,cellular process,metabolic process",15,0.000564865373752589
GO:0006012,galactose metabolic process,metabolic process,15,0.000564865373752589
GO:0045926,negative regulation of growth,biological regulation,15,0.000564865373752589
GO:0006972,hyperosmotic response,response to stimulus,15,0.000564865373752589
GO:0033619,membrane protein proteolysis,metabolic process,15,0.000564865373752589
GO:0002244,hematopoietic progenitor cell differentiation,"developmental process,cellular process",15,0.000564865373752589
GO:0010444,guard mother cell differentiation,"developmental process,cellular process",15,0.000564865373752589
GO:0032776,DNA methylation on cytosine,"cellular process,metabolic process",15,0.000564865373752589
GO:0042138,meiotic DNA double-strand break formation,"cellular process,metabolic process",15,0.000564865373752589
GO:0009228,thiamine biosynthetic process,"metabolic process,cellular process",15,0.000564865373752589
GO:0006829,zinc ion transport,localization,15,0.000564865373752589
GO:0046907,intracellular transport,"localization,cellular process",15,0.000564865373752589
GO:0005978,glycogen biosynthetic process,"metabolic process,cellular process",15,0.000564865373752589
GO:0008272,sulfate transport,localization,15,0.000564865373752589
GO:0010158,abaxial cell fate specification,"developmental process,cellular process",15,0.000564865373752589
GO:0007286,spermatid development,"cellular process,developmental process",15,0.000564865373752589
GO:1900490,positive regulation of hydroxymethylglutaryl-CoA reductase (NADPH) activity,biological regulation,15,0.000564865373752589
GO:0043086,negative regulation of catalytic activity,biological regulation,15,0.000564865373752589
GO:0043981,histone H4-K5 acetylation,"cellular process,metabolic process,cellular component organization",15,0.000564865373752589
GO:0070475,rRNA base methylation,"cellular process,metabolic process",15,0.000564865373752589
GO:0007399,nervous system development,developmental process,15,0.000564865373752589
GO:0018026,peptidyl-lysine monomethylation,"cellular process,metabolic process",15,0.000564865373752589
GO:0010497,plasmodesmata-mediated intercellular transport,"localization,cellular process",15,0.000564865373752589
GO:0030497,fatty acid elongation,"cellular process,metabolic process",15,0.000564865373752589
GO:0009854,oxidative photosynthetic carbon pathway,"metabolic process,cellular process",15,0.000564865373752589
GO:0030335,positive regulation of cell migration,"cellular process,locomotion,biological regulation,localization",15,0.000564865373752589
GO:0048232,male gamete generation,none,14,0.0005272076821690831
GO:0006644,phospholipid metabolic process,"cellular process,metabolic process",14,0.0005272076821690831
GO:0046653,tetrahydrofolate metabolic process,"cellular process,metabolic process",14,0.0005272076821690831
GO:0080113,regulation of seed growth,"biological regulation,developmental process",14,0.0005272076821690831
GO:0009099,valine biosynthetic process,"metabolic process,cellular process",14,0.0005272076821690831
GO:0071369,cellular response to ethylene stimulus,"cellular process,response to stimulus",14,0.0005272076821690831
GO:0034051,negative regulation of plant-type hypersensitive response,"cellular process,biological regulation,response to stimulus",14,0.0005272076821690831
GO:0010032,meiotic chromosome condensation,"cellular process,cellular component organization",14,0.0005272076821690831
GO:0006913,nucleocytoplasmic transport,"localization,cellular process",14,0.0005272076821690831
GO:0000380,"alternative mRNA splicing, via spliceosome","cellular process,metabolic process",14,0.0005272076821690831
GO:0000460,maturation of 5.8S rRNA,"cellular process,metabolic process",14,0.0005272076821690831
GO:0019216,regulation of lipid metabolic process,"biological regulation,metabolic process",14,0.0005272076821690831
GO:0090548,response to nitrate starvation,response to stimulus,14,0.0005272076821690831
GO:0048578,"positive regulation of long-day photoperiodism, flowering","biological regulation,developmental process,response to stimulus",14,0.0005272076821690831
GO:0006418,tRNA aminoacylation for protein translation,"cellular process,metabolic process",14,0.0005272076821690831
GO:0043971,histone H3-K18 acetylation,"cellular process,metabolic process,cellular component organization",14,0.0005272076821690831
GO:0010099,regulation of photomorphogenesis,"biological regulation,developmental process,response to stimulus",14,0.0005272076821690831
GO:0070936,protein K48-linked ubiquitination,"cellular process,metabolic process",14,0.0005272076821690831
GO:1901141,regulation of lignin biosynthetic process,"metabolic process,cellular process,biological regulation",14,0.0005272076821690831
GO:1900367,positive regulation of defense response to insect,"biological regulation,response to stimulus",14,0.0005272076821690831
GO:0106167,extracellular ATP signaling,"cellular process,biological regulation,response to stimulus",14,0.0005272076821690831
GO:2000904,regulation of starch metabolic process,"cellular process,metabolic process,biological regulation",14,0.0005272076821690831
GO:0050665,hydrogen peroxide biosynthetic process,"cellular process,metabolic process",14,0.0005272076821690831
GO:0050777,negative regulation of immune response,"biological regulation,response to stimulus",14,0.0005272076821690831
GO:0070940,dephosphorylation of RNA polymerase II C-terminal domain,"metabolic process,cellular process,biological regulation",14,0.0005272076821690831
GO:0007143,female meiotic nuclear division,"cellular process,cellular component organization",14,0.0005272076821690831
GO:0016132,brassinosteroid biosynthetic process,"metabolic process,biological regulation",14,0.0005272076821690831
GO:0009939,positive regulation of gibberellic acid mediated signaling pathway,"cellular process,signaling,biological regulation,response to stimulus",14,0.0005272076821690831
GO:0010189,vitamin E biosynthetic process,"cellular process,metabolic process",14,0.0005272076821690831
GO:0043666,regulation of phosphoprotein phosphatase activity,"metabolic process,cellular process,biological regulation",14,0.0005272076821690831
GO:0071277,cellular response to calcium ion,"cellular process,response to stimulus",14,0.0005272076821690831
GO:0048444,floral organ morphogenesis,developmental process,14,0.0005272076821690831
GO:0016070,RNA metabolic process,"cellular process,metabolic process",14,0.0005272076821690831
GO:0016075,rRNA catabolic process,"metabolic process,cellular process",14,0.0005272076821690831
GO:0045003,double-strand break repair via synthesis-dependent strand annealing,"cellular process,metabolic process,response to stimulus",14,0.0005272076821690831
GO:0043481,anthocyanin accumulation in tissues in response to UV light,response to stimulus,14,0.0005272076821690831
GO:0018022,peptidyl-lysine methylation,"cellular process,metabolic process",14,0.0005272076821690831
GO:0090436,leaf pavement cell development,"developmental process,cellular process",14,0.0005272076821690831
GO:0009269,response to desiccation,response to stimulus,14,0.0005272076821690831
GO:0090158,endoplasmic reticulum membrane organization,"cellular process,cellular component organization",14,0.0005272076821690831
GO:0031048,heterochromatin assembly by small RNA,"cellular process,cellular component organization",14,0.0005272076821690831
GO:0007219,Notch signaling pathway,"biological regulation,cellular process",14,0.0005272076821690831
GO:0032957,inositol trisphosphate metabolic process,"cellular process,metabolic process",14,0.0005272076821690831
GO:0051567,histone H3-K9 methylation,"metabolic process,cellular process,cellular component organization",14,0.0005272076821690831
GO:0007231,osmosensory signaling pathway,"cellular process,biological regulation,response to stimulus",14,0.0005272076821690831
GO:0016055,Wnt signaling pathway,"biological regulation,cellular process",14,0.0005272076821690831
GO:0034497,protein localization to phagophore assembly site,"localization,cellular process",14,0.0005272076821690831
GO:0010608,posttranscriptional regulation of gene expression,"biological regulation,metabolic process",14,0.0005272076821690831
GO:0009098,leucine biosynthetic process,"cellular process,metabolic process",13,0.0004895499905855771
GO:0042759,long-chain fatty acid biosynthetic process,"metabolic process,cellular process",13,0.0004895499905855771
GO:0048509,regulation of meristem development,"biological regulation,developmental process",13,0.0004895499905855771
GO:0048255,mRNA stabilization,"metabolic process,cellular process,biological regulation",13,0.0004895499905855771
GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","metabolic process,cellular process",13,0.0004895499905855771
GO:0001510,RNA methylation,"cellular process,metabolic process",13,0.0004895499905855771
GO:0009088,threonine biosynthetic process,"metabolic process,cellular process",13,0.0004895499905855771
GO:2000769,regulation of establishment or maintenance of cell polarity regulating cell shape,"cellular process,biological regulation,developmental process",13,0.0004895499905855771
GO:0048026,"positive regulation of mRNA splicing, via spliceosome","metabolic process,cellular process,biological regulation",13,0.0004895499905855771
GO:0016180,snRNA processing,"cellular process,metabolic process",13,0.0004895499905855771
GO:1902975,mitotic DNA replication initiation,"cellular process,metabolic process",13,0.0004895499905855771
GO:0043266,regulation of potassium ion transport,"biological regulation,localization",13,0.0004895499905855771
GO:0048024,"regulation of mRNA splicing, via spliceosome","metabolic process,cellular process,biological regulation",13,0.0004895499905855771
GO:0000710,meiotic mismatch repair,"cellular process,metabolic process,response to stimulus",13,0.0004895499905855771
GO:0007094,mitotic spindle assembly checkpoint,"cellular component organization,cellular process,biological regulation",13,0.0004895499905855771
GO:0040034,"regulation of development, heterochronic","developmental process,biological regulation",13,0.0004895499905855771
GO:0043447,alkane biosynthetic process,"cellular process,metabolic process",13,0.0004895499905855771
GO:0007389,pattern specification process,none,13,0.0004895499905855771
GO:0010344,seed oilbody biogenesis,cellular process,13,0.0004895499905855771
GO:0071260,cellular response to mechanical stimulus,"cellular process,response to stimulus",13,0.0004895499905855771
GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,"cellular process,cellular component organization",13,0.0004895499905855771
GO:0030259,lipid glycosylation,"cellular process,metabolic process",13,0.0004895499905855771
GO:0034063,stress granule assembly,"cellular process,cellular component organization",13,0.0004895499905855771
GO:0019083,viral transcription,none,13,0.0004895499905855771
GO:0007420,brain development,developmental process,13,0.0004895499905855771
GO:0010052,guard cell differentiation,"developmental process,cellular process",13,0.0004895499905855771
GO:0009808,lignin metabolic process,"cellular process,metabolic process",13,0.0004895499905855771
GO:0051131,chaperone-mediated protein complex assembly,"cellular process,cellular component organization",13,0.0004895499905855771
GO:0010506,regulation of autophagy,"cellular process,metabolic process,biological regulation",13,0.0004895499905855771
GO:0019375,galactolipid biosynthetic process,"cellular process,metabolic process",13,0.0004895499905855771
GO:0010569,regulation of double-strand break repair via homologous recombination,"metabolic process,cellular process,biological regulation,response to stimulus",13,0.0004895499905855771
GO:0048193,Golgi vesicle transport,"localization,cellular process",13,0.0004895499905855771
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,"cellular process,metabolic process",13,0.0004895499905855771
GO:0009642,response to light intensity,response to stimulus,13,0.0004895499905855771
GO:0006839,mitochondrial transport,localization,13,0.0004895499905855771
GO:0030100,regulation of endocytosis,"cellular process,biological regulation,localization,cellular component organization",13,0.0004895499905855771
GO:0016131,brassinosteroid metabolic process,"biological regulation,metabolic process",13,0.0004895499905855771
GO:0048833,specification of floral organ number,"biological regulation,developmental process",13,0.0004895499905855771
GO:0000375,"RNA splicing, via transesterification reactions","cellular process,metabolic process",13,0.0004895499905855771
GO:0006307,DNA dealkylation involved in DNA repair,"cellular process,metabolic process",13,0.0004895499905855771
GO:0045041,protein import into mitochondrial intermembrane space,"localization,cellular process",13,0.0004895499905855771
GO:0031648,protein destabilization,biological regulation,13,0.0004895499905855771
GO:0010205,photoinhibition,"cellular process,metabolic process,biological regulation,response to stimulus",13,0.0004895499905855771
GO:0006526,arginine biosynthetic process,"metabolic process,cellular process",13,0.0004895499905855771
GO:0071217,cellular response to external biotic stimulus,"cellular process,response to stimulus",13,0.0004895499905855771
GO:0010272,response to silver ion,response to stimulus,13,0.0004895499905855771
GO:0030435,sporulation resulting in formation of a cellular spore,"cellular process,developmental process",13,0.0004895499905855771
GO:0033674,positive regulation of kinase activity,"metabolic process,cellular process,biological regulation",13,0.0004895499905855771
GO:0015937,coenzyme A biosynthetic process,"metabolic process,cellular process",13,0.0004895499905855771
GO:0031935,regulation of chromatin silencing,"metabolic process,cellular process,biological regulation,cellular component organization",13,0.0004895499905855771
GO:0080182,histone H3-K4 trimethylation,"metabolic process,cellular process,cellular component organization",13,0.0004895499905855771
GO:0042176,regulation of protein catabolic process,"metabolic process,biological regulation",13,0.0004895499905855771
GO:0030007,cellular potassium ion homeostasis,"cellular process,biological regulation",13,0.0004895499905855771
GO:0060969,negative regulation of gene silencing,"metabolic process,cellular process,biological regulation",13,0.0004895499905855771
GO:0031640,killing of cells of other organism,"cell killing,cellular process",13,0.0004895499905855771
GO:1903335,regulation of vacuolar transport,"biological regulation,localization,cellular process",13,0.0004895499905855771
GO:0006415,translational termination,"cellular process,cellular component organization",13,0.0004895499905855771
GO:0042632,cholesterol homeostasis,biological regulation,13,0.0004895499905855771
GO:0006875,cellular metal ion homeostasis,"cellular process,biological regulation",13,0.0004895499905855771
GO:0006546,glycine catabolic process,"metabolic process,cellular process",13,0.0004895499905855771
GO:0046470,phosphatidylcholine metabolic process,"cellular process,metabolic process",13,0.0004895499905855771
GO:0010074,maintenance of meristem identity,developmental process,13,0.0004895499905855771
GO:0010161,red light signaling pathway,"cellular process,biological regulation,response to stimulus",13,0.0004895499905855771
GO:0006825,copper ion transport,localization,13,0.0004895499905855771
GO:0019287,"isopentenyl diphosphate biosynthetic process, mevalonate pathway","metabolic process,cellular process",13,0.0004895499905855771
GO:0006535,cysteine biosynthetic process from serine,"metabolic process,cellular process",13,0.0004895499905855771
GO:0031087,deadenylation-independent decapping of nuclear-transcribed mRNA,"metabolic process,cellular process",13,0.0004895499905855771
GO:0009955,adaxial/abaxial pattern specification,none,13,0.0004895499905855771
GO:0009635,response to herbicide,response to stimulus,13,0.0004895499905855771
GO:0006646,phosphatidylethanolamine biosynthetic process,"cellular process,metabolic process",13,0.0004895499905855771
GO:0007035,vacuolar acidification,"cellular process,biological regulation",13,0.0004895499905855771
GO:0031542,positive regulation of anthocyanin biosynthetic process,"metabolic process,biological regulation",13,0.0004895499905855771
GO:0010239,chloroplast mRNA processing,"cellular process,metabolic process",13,0.0004895499905855771
GO:0010222,stem vascular tissue pattern formation,none,13,0.0004895499905855771
GO:0019464,glycine decarboxylation via glycine cleavage system,"cellular process,metabolic process",13,0.0004895499905855771
GO:0019388,galactose catabolic process,metabolic process,13,0.0004895499905855771
GO:0080175,phragmoplast microtubule organization,"cellular process,cellular component organization",13,0.0004895499905855771
GO:0006536,glutamate metabolic process,"cellular process,metabolic process",13,0.0004895499905855771
GO:0006446,regulation of translational initiation,"metabolic process,cellular process,biological regulation",13,0.0004895499905855771
GO:0044267,cellular protein metabolic process,"cellular process,metabolic process",13,0.0004895499905855771
