GO Annotation,Taxon,Count of Proteins with Annotation,Proportion of Proteins with Annotation
mitotic spindle pole,speciosa-GBGW,1,3.1026993484331366e-05
multimeric ribonuclease P complex,speciosa-GBGW,1,3.1026993484331366e-05
myofibril,speciosa-GBGW,1,3.1026993484331366e-05
myosin I complex,speciosa-GBGW,1,3.1026993484331366e-05
neuron projection,speciosa-GBGW,1,3.1026993484331366e-05
neuronal dense core vesicle,speciosa-GBGW,1,3.1026993484331366e-05
neuronal ribonucleoprotein granule,speciosa-GBGW,1,3.1026993484331366e-05
nuclear envelope lumen,speciosa-GBGW,1,3.1026993484331366e-05
nuclear inclusion body,speciosa-GBGW,1,3.1026993484331366e-05
nuclear origin of replication recognition complex,speciosa-GBGW,1,3.1026993484331366e-05
nucleolar chromatin,speciosa-GBGW,1,3.1026993484331366e-05
obsolete nuclear telomeric heterochromatin,speciosa-GBGW,1,3.1026993484331366e-05
other organism cell membrane,speciosa-GBGW,1,3.1026993484331366e-05
outer membrane-bounded periplasmic space,speciosa-GBGW,1,3.1026993484331366e-05
perinucleolar chromocenter,speciosa-GBGW,1,3.1026993484331366e-05
perinucleolar compartment,speciosa-GBGW,1,3.1026993484331366e-05
phagocytic cup lip,speciosa-GBGW,1,3.1026993484331366e-05
phagolysosome,speciosa-GBGW,1,3.1026993484331366e-05
phagophore,speciosa-GBGW,1,3.1026993484331366e-05
phosphatase complex,speciosa-GBGW,1,3.1026993484331366e-05
photoreceptor connecting cilium,speciosa-GBGW,1,3.1026993484331366e-05
plasma membrane of cell tip,speciosa-GBGW,1,3.1026993484331366e-05
plasmodesmatal endoplasmic reticulum,speciosa-GBGW,1,3.1026993484331366e-05
plastid membrane,speciosa-GBGW,1,3.1026993484331366e-05
pollen wall,speciosa-GBGW,1,3.1026993484331366e-05
polytene chromosome,speciosa-GBGW,1,3.1026993484331366e-05
potassium channel complex,speciosa-GBGW,1,3.1026993484331366e-05
potassium ion-transporting ATPase complex,speciosa-GBGW,1,3.1026993484331366e-05
presynaptic cytosol,speciosa-GBGW,1,3.1026993484331366e-05
primary cell septum,speciosa-GBGW,1,3.1026993484331366e-05
primary cell wall,speciosa-GBGW,1,3.1026993484331366e-05
protein farnesyltransferase complex,speciosa-GBGW,1,3.1026993484331366e-05
pseudopodium,speciosa-GBGW,1,3.1026993484331366e-05
rDNA heterochromatin,speciosa-GBGW,1,3.1026993484331366e-05
replisome,speciosa-GBGW,1,3.1026993484331366e-05
respiratory chain complex III,speciosa-GBGW,1,3.1026993484331366e-05
ribonuclease MRP complex,speciosa-GBGW,1,3.1026993484331366e-05
ribonuclease P complex,speciosa-GBGW,1,3.1026993484331366e-05
ribose phosphate diphosphokinase complex,speciosa-GBGW,1,3.1026993484331366e-05
rough endoplasmic reticulum,speciosa-GBGW,1,3.1026993484331366e-05
sarcoplasmic reticulum lumen,speciosa-GBGW,1,3.1026993484331366e-05
secretory granule lumen,speciosa-GBGW,1,3.1026993484331366e-05
sensory dendrite,speciosa-GBGW,1,3.1026993484331366e-05
serine/threonine protein kinase complex,speciosa-GBGW,1,3.1026993484331366e-05
signal recognition particle receptor complex,speciosa-GBGW,1,3.1026993484331366e-05
sperm head,speciosa-GBGW,1,3.1026993484331366e-05
stereocilium tip,speciosa-GBGW,1,3.1026993484331366e-05
super elongation complex,speciosa-GBGW,1,3.1026993484331366e-05
synaptic vesicle membrane,speciosa-GBGW,1,3.1026993484331366e-05
t-UTP complex,speciosa-GBGW,1,3.1026993484331366e-05
tRNA (m1A) methyltransferase complex,speciosa-GBGW,1,3.1026993484331366e-05
terminal bouton,speciosa-GBGW,1,3.1026993484331366e-05
transcription factor TFIIIC complex,speciosa-GBGW,1,3.1026993484331366e-05
viral nucleocapsid,speciosa-GBGW,1,3.1026993484331366e-05
virion,speciosa-GBGW,1,3.1026993484331366e-05
nucleus,serrulata-SJAN,6067,0.19220655789640426
integral component of membrane,serrulata-SJAN,5383,0.17053698716933313
plasma membrane,serrulata-SJAN,4564,0.14459052748297166
cytosol,serrulata-SJAN,4137,0.13106288610803105
cytoplasm,serrulata-SJAN,3797,0.1202914620624109
chloroplast,serrulata-SJAN,2688,0.08515761127831459
mitochondrion,serrulata-SJAN,1842,0.058355773800095045
Golgi apparatus,serrulata-SJAN,1266,0.0401077142404562
plasmodesma,serrulata-SJAN,1251,0.03963250435609061
endoplasmic reticulum,serrulata-SJAN,1106,0.03503880880722319
extracellular region,serrulata-SJAN,991,0.03139553302708696
chloroplast stroma,serrulata-SJAN,989,0.031332171709171554
plastid,serrulata-SJAN,979,0.031015365119594487
membrane,serrulata-SJAN,897,0.02841755108506257
vacuole,serrulata-SJAN,790,0.025027720576587992
vacuolar membrane,serrulata-SJAN,767,0.024299065420560748
endoplasmic reticulum membrane,serrulata-SJAN,760,0.024077300807856805
Golgi membrane,serrulata-SJAN,720,0.02281007444954855
nucleolus,serrulata-SJAN,720,0.02281007444954855
chloroplast envelope,serrulata-SJAN,711,0.022524948518929194
chloroplast thylakoid membrane,serrulata-SJAN,681,0.021574528750198003
cell wall,serrulata-SJAN,644,0.02040234436876287
obsolete cell,serrulata-SJAN,545,0.017265959131949945
apoplast,serrulata-SJAN,511,0.01618881672738793
endosome,serrulata-SJAN,473,0.014984951686995089
trans-Golgi network,serrulata-SJAN,465,0.01473150641533344
nucleoplasm,serrulata-SJAN,450,0.014256296530967844
peroxisome,serrulata-SJAN,362,0.011468398542689688
intracellular membrane-bounded organelle,serrulata-SJAN,360,0.011405037224774275
microtubule,serrulata-SJAN,326,0.01032789482021226
chloroplast membrane,serrulata-SJAN,302,0.009567559005227308
chloroplast thylakoid,serrulata-SJAN,261,0.00826865198796135
ribosome,serrulata-SJAN,241,0.007635038808807223
thylakoid,serrulata-SJAN,231,0.00731823221923016
plant-type cell wall,serrulata-SJAN,223,0.00706478694756851
nuclear speck,serrulata-SJAN,219,0.006938064311737684
endosome membrane,serrulata-SJAN,215,0.0068113416759068585
mitochondrial inner membrane,serrulata-SJAN,209,0.0066212577221606205
anchored component of plasma membrane,serrulata-SJAN,205,0.006494535086329796
anchored component of membrane,serrulata-SJAN,195,0.006177728496752732
endomembrane system,serrulata-SJAN,195,0.006177728496752732
integral component of plasma membrane,serrulata-SJAN,187,0.005924283225091082
phragmoplast,serrulata-SJAN,187,0.005924283225091082
cytosolic ribosome,serrulata-SJAN,183,0.005797560589260256
host cell nucleus,serrulata-SJAN,180,0.005702518612387138
plant-type vacuole membrane,serrulata-SJAN,180,0.005702518612387138
secretory vesicle,serrulata-SJAN,179,0.0056708379534294315
cytoskeleton,serrulata-SJAN,178,0.005639157294471725
spliceosomal complex,serrulata-SJAN,174,0.0055124346586409
cytosolic large ribosomal subunit,serrulata-SJAN,171,0.005417392681767781
nuclear envelope,serrulata-SJAN,171,0.005417392681767781
extracellular space,serrulata-SJAN,164,0.005195628069063836
mitochondrial matrix,serrulata-SJAN,156,0.004942182797402186
kinesin complex,serrulata-SJAN,141,0.004466972913036591
chloroplast inner membrane,serrulata-SJAN,140,0.004435292254078885
Golgi trans cisterna,serrulata-SJAN,131,0.004150166323459528
nuclear membrane,serrulata-SJAN,125,0.00396008236971329
P-body,serrulata-SJAN,120,0.0038016790749247583
ribonucleoprotein complex,serrulata-SJAN,116,0.003674956439093933
plastoglobule,serrulata-SJAN,115,0.003643275780136227
extrinsic component of membrane,serrulata-SJAN,109,0.003453191826389989
cytosolic small ribosomal subunit,serrulata-SJAN,107,0.003389830508474576
spindle,serrulata-SJAN,106,0.00335814984951687
plant-type vacuole,serrulata-SJAN,103,0.003263107872643751
perinuclear region of cytoplasm,serrulata-SJAN,102,0.003231427213686045
Cul4-RING E3 ubiquitin ligase complex,serrulata-SJAN,100,0.003168065895770632
polysomal ribosome,serrulata-SJAN,97,0.003073023918897513
late endosome,serrulata-SJAN,95,0.0030096626009821006
chromatin,serrulata-SJAN,93,0.002946301283066688
lysosome,serrulata-SJAN,93,0.002946301283066688
SCF ubiquitin ligase complex,serrulata-SJAN,92,0.0029146206241089817
extracellular exosome,serrulata-SJAN,89,0.0028195786472358627
integral component of endoplasmic reticulum membrane,serrulata-SJAN,89,0.0028195786472358627
late endosome membrane,serrulata-SJAN,88,0.002787897988278156
early endosome,serrulata-SJAN,86,0.0027245366703627437
nuclear chromatin,serrulata-SJAN,85,0.002692856011405037
Golgi medial cisterna,serrulata-SJAN,84,0.002661175352447331
small-subunit processome,serrulata-SJAN,84,0.002661175352447331
chloroplast outer membrane,serrulata-SJAN,81,0.002566133375574212
mediator complex,serrulata-SJAN,78,0.002471091398701093
nuclear pore,serrulata-SJAN,78,0.002471091398701093
photosystem II,serrulata-SJAN,78,0.002471091398701093
nucleosome,serrulata-SJAN,77,0.0024394107397433867
cytoplasmic vesicle,serrulata-SJAN,74,0.0023443687628702677
chromosome,serrulata-SJAN,72,0.002281007444954855
chloroplast thylakoid lumen,serrulata-SJAN,71,0.0022493267859971487
mitochondrial membrane,serrulata-SJAN,70,0.0022176461270394425
mitochondrial outer membrane,serrulata-SJAN,70,0.0022176461270394425
proteasome complex,serrulata-SJAN,70,0.0022176461270394425
catalytic step 2 spliceosome,serrulata-SJAN,67,0.0021226041501663235
thylakoid lumen,serrulata-SJAN,67,0.0021226041501663235
chloroplast nucleoid,serrulata-SJAN,66,0.002090923491208617
peroxisomal membrane,serrulata-SJAN,64,0.0020275621732932046
pollen tube,serrulata-SJAN,64,0.0020275621732932046
vesicle,serrulata-SJAN,64,0.0020275621732932046
COPI vesicle coat,serrulata-SJAN,63,0.0019958815143354984
protein-containing complex,serrulata-SJAN,63,0.0019958815143354984
ubiquitin ligase complex,serrulata-SJAN,61,0.0019325201964200856
exocyst,serrulata-SJAN,59,0.001869158878504673
cyclin-dependent protein kinase holoenzyme complex,serrulata-SJAN,57,0.0018057975605892602
cytoplasmic stress granule,serrulata-SJAN,57,0.0018057975605892602
endoplasmic reticulum lumen,serrulata-SJAN,57,0.0018057975605892602
lysosomal membrane,serrulata-SJAN,57,0.0018057975605892602
thylakoid membrane,serrulata-SJAN,57,0.0018057975605892602
cell plate,serrulata-SJAN,56,0.001774116901631554
small ribosomal subunit,serrulata-SJAN,52,0.0016473942658007286
amyloplast,serrulata-SJAN,51,0.0016157136068430224
actin cytoskeleton,serrulata-SJAN,50,0.001584032947885316
lipid droplet,serrulata-SJAN,50,0.001584032947885316
integral component of Golgi membrane,serrulata-SJAN,49,0.0015523522889276096
mitochondrial intermembrane space,serrulata-SJAN,46,0.0014573103120544908
stromule,serrulata-SJAN,46,0.0014573103120544908
"chromosome, centromeric region",serrulata-SJAN,45,0.0014256296530967844
cis-Golgi network,serrulata-SJAN,45,0.0014256296530967844
Golgi cisterna membrane,serrulata-SJAN,44,0.001393948994139078
SNARE complex,serrulata-SJAN,44,0.001393948994139078
nuclear body,serrulata-SJAN,44,0.001393948994139078
clathrin-coated vesicle,serrulata-SJAN,43,0.0013622683351813718
glyoxysome,serrulata-SJAN,43,0.0013622683351813718
mitochondrial respiratory chain complex I,serrulata-SJAN,43,0.0013622683351813718
photosystem I,serrulata-SJAN,43,0.0013622683351813718
cortical microtubule,serrulata-SJAN,42,0.0013305876762236654
early endosome membrane,serrulata-SJAN,41,0.001298907017265959
RNA polymerase III complex,serrulata-SJAN,40,0.0012672263583082528
eukaryotic 48S preinitiation complex,serrulata-SJAN,40,0.0012672263583082528
protein phosphatase type 2A complex,serrulata-SJAN,40,0.0012672263583082528
respirasome,serrulata-SJAN,40,0.0012672263583082528
RNA polymerase V complex,serrulata-SJAN,39,0.0012355456993505464
cytoplasmic vesicle membrane,serrulata-SJAN,39,0.0012355456993505464
photosystem II oxygen evolving complex,serrulata-SJAN,39,0.0012355456993505464
Golgi cis cisterna,serrulata-SJAN,38,0.0012038650403928403
cell cortex,serrulata-SJAN,37,0.0011721843814351339
transcription factor TFIID complex,serrulata-SJAN,37,0.0011721843814351339
multivesicular body,serrulata-SJAN,36,0.0011405037224774275
COPII vesicle coat,serrulata-SJAN,35,0.0011088230635197213
eukaryotic 43S preinitiation complex,serrulata-SJAN,34,0.0010771424045620149
myosin complex,serrulata-SJAN,34,0.0010771424045620149
"1,3-beta-D-glucan synthase complex",serrulata-SJAN,33,0.0010454617456043085
U2-type catalytic step 2 spliceosome,serrulata-SJAN,33,0.0010454617456043085
cytoplasmic side of plasma membrane,serrulata-SJAN,33,0.0010454617456043085
U2-type prespliceosome,serrulata-SJAN,32,0.0010137810866466023
endoplasmic reticulum exit site,serrulata-SJAN,32,0.0010137810866466023
endoplasmic reticulum-Golgi intermediate compartment,serrulata-SJAN,32,0.0010137810866466023
eukaryotic translation initiation factor 3 complex,serrulata-SJAN,32,0.0010137810866466023
U4/U6 x U5 tri-snRNP complex,serrulata-SJAN,31,0.0009821004276888959
transcription regulator complex,serrulata-SJAN,31,0.0009821004276888959
histone deacetylase complex,serrulata-SJAN,30,0.0009504197687311896
phagophore assembly site membrane,serrulata-SJAN,30,0.0009504197687311896
proteasome core complex,serrulata-SJAN,30,0.0009504197687311896
"proteasome regulatory particle, base subcomplex",serrulata-SJAN,30,0.0009504197687311896
spindle pole,serrulata-SJAN,30,0.0009504197687311896
large ribosomal subunit,serrulata-SJAN,29,0.0009187391097734833
nuclear periphery,serrulata-SJAN,29,0.0009187391097734833
phagocytic vesicle,serrulata-SJAN,29,0.0009187391097734833
NuA4 histone acetyltransferase complex,serrulata-SJAN,28,0.000887058450815777
"preribosome, large subunit precursor",serrulata-SJAN,28,0.000887058450815777
Golgi transport complex,serrulata-SJAN,27,0.0008553777918580707
U1 snRNP,serrulata-SJAN,27,0.0008553777918580707
cell division site,serrulata-SJAN,27,0.0008553777918580707
plastid chromosome,serrulata-SJAN,27,0.0008553777918580707
CCR4-NOT core complex,serrulata-SJAN,26,0.0008236971329003643
NAD(P)H dehydrogenase complex (plastoquinone),serrulata-SJAN,26,0.0008236971329003643
"RNA polymerase II, core complex",serrulata-SJAN,26,0.0008236971329003643
SAGA complex,serrulata-SJAN,26,0.0008236971329003643
plastid stroma,serrulata-SJAN,26,0.0008236971329003643
polysome,serrulata-SJAN,26,0.0008236971329003643
CORVET complex,serrulata-SJAN,25,0.000792016473942658
Cul4A-RING E3 ubiquitin ligase complex,serrulata-SJAN,25,0.000792016473942658
Prp19 complex,serrulata-SJAN,25,0.000792016473942658
RNA polymerase I complex,serrulata-SJAN,25,0.000792016473942658
centrosome,serrulata-SJAN,25,0.000792016473942658
integral component of mitochondrial outer membrane,serrulata-SJAN,25,0.000792016473942658
"nuclear chromosome, telomeric region",serrulata-SJAN,25,0.000792016473942658
nuclear pore outer ring,serrulata-SJAN,25,0.000792016473942658
CCR4-NOT complex,serrulata-SJAN,24,0.0007603358149849517
cell periphery,serrulata-SJAN,24,0.0007603358149849517
preprophase band,serrulata-SJAN,24,0.0007603358149849517
DNA replication factor C complex,serrulata-SJAN,23,0.0007286551560272454
U5 snRNP,serrulata-SJAN,23,0.0007286551560272454
autophagosome,serrulata-SJAN,23,0.0007286551560272454
histone methyltransferase complex,serrulata-SJAN,23,0.0007286551560272454
integral component of mitochondrial inner membrane,serrulata-SJAN,23,0.0007286551560272454
pore complex,serrulata-SJAN,23,0.0007286551560272454
precatalytic spliceosome,serrulata-SJAN,23,0.0007286551560272454
"proton-transporting ATP synthase complex, catalytic core F(1)",serrulata-SJAN,23,0.0007286551560272454
RNA polymerase IV complex,serrulata-SJAN,22,0.000696974497069539
THO complex,serrulata-SJAN,22,0.000696974497069539
kinetochore,serrulata-SJAN,22,0.000696974497069539
nuclear exosome (RNase complex),serrulata-SJAN,22,0.000696974497069539
post-mRNA release spliceosomal complex,serrulata-SJAN,22,0.000696974497069539
"preribosome, small subunit precursor",serrulata-SJAN,22,0.000696974497069539
90S preribosome,serrulata-SJAN,21,0.0006652938381118327
Cajal body,serrulata-SJAN,21,0.0006652938381118327
cellulose synthase complex,serrulata-SJAN,21,0.0006652938381118327
integral component of chloroplast outer membrane,serrulata-SJAN,21,0.0006652938381118327
anaphase-promoting complex,serrulata-SJAN,20,0.0006336131791541264
mismatch repair complex,serrulata-SJAN,20,0.0006336131791541264
mitochondrial respiratory chain complex III,serrulata-SJAN,20,0.0006336131791541264
oxoglutarate dehydrogenase complex,serrulata-SJAN,20,0.0006336131791541264
"proteasome core complex, beta-subunit complex",serrulata-SJAN,20,0.0006336131791541264
COPII-coated ER to Golgi transport vesicle,serrulata-SJAN,19,0.0006019325201964201
Ino80 complex,serrulata-SJAN,19,0.0006019325201964201
P granule,serrulata-SJAN,19,0.0006019325201964201
Pwp2p-containing subcomplex of 90S preribosome,serrulata-SJAN,19,0.0006019325201964201
U2 snRNP,serrulata-SJAN,19,0.0006019325201964201
cell surface,serrulata-SJAN,19,0.0006019325201964201
clathrin-coated pit,serrulata-SJAN,19,0.0006019325201964201
endopeptidase Clp complex,serrulata-SJAN,19,0.0006019325201964201
integral component of cytoplasmic side of endoplasmic reticulum membrane,serrulata-SJAN,19,0.0006019325201964201
microtubule associated complex,serrulata-SJAN,19,0.0006019325201964201
multivesicular body membrane,serrulata-SJAN,19,0.0006019325201964201
organelle membrane,serrulata-SJAN,19,0.0006019325201964201
cell projection,serrulata-SJAN,18,0.0005702518612387137
chloride channel complex,serrulata-SJAN,18,0.0005702518612387137
mitochondrial nucleoid,serrulata-SJAN,18,0.0005702518612387137
phagophore assembly site,serrulata-SJAN,18,0.0005702518612387137
site of double-strand break,serrulata-SJAN,18,0.0005702518612387137
Golgi stack,serrulata-SJAN,17,0.0005385712022810074
HOPS complex,serrulata-SJAN,17,0.0005385712022810074
SWI/SNF complex,serrulata-SJAN,17,0.0005385712022810074
histone acetyltransferase complex,serrulata-SJAN,17,0.0005385712022810074
nuclear matrix,serrulata-SJAN,17,0.0005385712022810074
"proton-transporting ATP synthase complex, coupling factor F(o)",serrulata-SJAN,17,0.0005385712022810074
ER to Golgi transport vesicle membrane,serrulata-SJAN,16,0.0005068905433233011
U12-type spliceosomal complex,serrulata-SJAN,16,0.0005068905433233011
U2-type precatalytic spliceosome,serrulata-SJAN,16,0.0005068905433233011
acetyl-CoA carboxylase complex,serrulata-SJAN,16,0.0005068905433233011
autophagosome membrane,serrulata-SJAN,16,0.0005068905433233011
condensed chromosome kinetochore,serrulata-SJAN,16,0.0005068905433233011
extrinsic component of endoplasmic reticulum membrane,serrulata-SJAN,16,0.0005068905433233011
integral component of lumenal side of endoplasmic reticulum membrane,serrulata-SJAN,16,0.0005068905433233011
mitochondrial oxoglutarate dehydrogenase complex,serrulata-SJAN,16,0.0005068905433233011
mitotic spindle,serrulata-SJAN,16,0.0005068905433233011
protein storage vacuole,serrulata-SJAN,16,0.0005068905433233011
recycling endosome,serrulata-SJAN,16,0.0005068905433233011
spindle microtubule,serrulata-SJAN,16,0.0005068905433233011
transcription factor TFIIH holo complex,serrulata-SJAN,16,0.0005068905433233011
ER membrane protein complex,serrulata-SJAN,15,0.0004752098843655948
Elongator holoenzyme complex,serrulata-SJAN,15,0.0004752098843655948
MCM complex,serrulata-SJAN,15,0.0004752098843655948
Swr1 complex,serrulata-SJAN,15,0.0004752098843655948
Ycf2/FtsHi complex,serrulata-SJAN,15,0.0004752098843655948
chaperonin-containing T-complex,serrulata-SJAN,15,0.0004752098843655948
"chromosome, telomeric region",serrulata-SJAN,15,0.0004752098843655948
clathrin adaptor complex,serrulata-SJAN,15,0.0004752098843655948
clathrin-coated vesicle membrane,serrulata-SJAN,15,0.0004752098843655948
integral component of peroxisomal membrane,serrulata-SJAN,15,0.0004752098843655948
lytic vacuole,serrulata-SJAN,15,0.0004752098843655948
"proteasome core complex, alpha-subunit complex",serrulata-SJAN,15,0.0004752098843655948
"proteasome regulatory particle, lid subcomplex",serrulata-SJAN,15,0.0004752098843655948
"signal recognition particle, endoplasmic reticulum targeting",serrulata-SJAN,15,0.0004752098843655948
Cdc73/Paf1 complex,serrulata-SJAN,14,0.0004435292254078885
SLIK (SAGA-like) complex,serrulata-SJAN,14,0.0004435292254078885
THO complex part of transcription export complex,serrulata-SJAN,14,0.0004435292254078885
TOC-TIC supercomplex I,serrulata-SJAN,14,0.0004435292254078885
U2-type spliceosomal complex,serrulata-SJAN,14,0.0004435292254078885
chloroplast stromal thylakoid,serrulata-SJAN,14,0.0004435292254078885
extracellular matrix,serrulata-SJAN,14,0.0004435292254078885
motile cilium,serrulata-SJAN,14,0.0004435292254078885
periplasmic space,serrulata-SJAN,14,0.0004435292254078885
plastid-encoded plastid RNA polymerase complex,serrulata-SJAN,14,0.0004435292254078885
DNA replication factor A complex,serrulata-SJAN,13,0.00041184856645018215
EKC/KEOPS complex,serrulata-SJAN,13,0.00041184856645018215
ESCRT III complex,serrulata-SJAN,13,0.00041184856645018215
PcG protein complex,serrulata-SJAN,13,0.00041184856645018215
U2AF complex,serrulata-SJAN,13,0.00041184856645018215
actin filament,serrulata-SJAN,13,0.00041184856645018215
apical plasma membrane,serrulata-SJAN,13,0.00041184856645018215
box C/D snoRNP complex,serrulata-SJAN,13,0.00041184856645018215
chloroplast intermembrane space,serrulata-SJAN,13,0.00041184856645018215
chloroplast thylakoid membrane protein complex,serrulata-SJAN,13,0.00041184856645018215
chloroplastic endopeptidase Clp complex,serrulata-SJAN,13,0.00041184856645018215
cohesin complex,serrulata-SJAN,13,0.00041184856645018215
cullin-RING ubiquitin ligase complex,serrulata-SJAN,13,0.00041184856645018215
cytoplasmic exosome (RNase complex),serrulata-SJAN,13,0.00041184856645018215
exon-exon junction complex,serrulata-SJAN,13,0.00041184856645018215
mitochondrial envelope,serrulata-SJAN,13,0.00041184856645018215
"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)",serrulata-SJAN,13,0.00041184856645018215
nuclear pore cytoplasmic filaments,serrulata-SJAN,13,0.00041184856645018215
photosystem I reaction center,serrulata-SJAN,13,0.00041184856645018215
protein storage vacuole membrane,serrulata-SJAN,13,0.00041184856645018215
replication fork protection complex,serrulata-SJAN,13,0.00041184856645018215
retromer complex,serrulata-SJAN,13,0.00041184856645018215
root hair,serrulata-SJAN,13,0.00041184856645018215
spliceosomal tri-snRNP complex,serrulata-SJAN,13,0.00041184856645018215
transport vesicle,serrulata-SJAN,13,0.00041184856645018215
DSIF complex,serrulata-SJAN,12,0.00038016790749247585
GARP complex,serrulata-SJAN,12,0.00038016790749247585
MutSalpha complex,serrulata-SJAN,12,0.00038016790749247585
SCAR complex,serrulata-SJAN,12,0.00038016790749247585
acetolactate synthase complex,serrulata-SJAN,12,0.00038016790749247585
axon,serrulata-SJAN,12,0.00038016790749247585
chromatin silencing complex,serrulata-SJAN,12,0.00038016790749247585
chromocenter,serrulata-SJAN,12,0.00038016790749247585
commitment complex,serrulata-SJAN,12,0.00038016790749247585
condensed nuclear chromosome,serrulata-SJAN,12,0.00038016790749247585
core mediator complex,serrulata-SJAN,12,0.00038016790749247585
exosome (RNase complex),serrulata-SJAN,12,0.00038016790749247585
glyoxysomal membrane,serrulata-SJAN,12,0.00038016790749247585
mRNA cleavage and polyadenylation specificity factor complex,serrulata-SJAN,12,0.00038016790749247585
microtubule organizing center,serrulata-SJAN,12,0.00038016790749247585
nuclear dicing body,serrulata-SJAN,12,0.00038016790749247585
phenylalanine-tRNA ligase complex,serrulata-SJAN,12,0.00038016790749247585
recycling endosome membrane,serrulata-SJAN,12,0.00038016790749247585
respiratory chain complex II,serrulata-SJAN,12,0.00038016790749247585
stromal side of plastid thylakoid membrane,serrulata-SJAN,12,0.00038016790749247585
COP9 signalosome,serrulata-SJAN,11,0.0003484872485347695
COPI-coated vesicle,serrulata-SJAN,11,0.0003484872485347695
DNA polymerase III complex,serrulata-SJAN,11,0.0003484872485347695
Golgi-associated vesicle membrane,serrulata-SJAN,11,0.0003484872485347695
HAUS complex,serrulata-SJAN,11,0.0003484872485347695
PML body,serrulata-SJAN,11,0.0003484872485347695
RQC complex,serrulata-SJAN,11,0.0003484872485347695
SAM complex,serrulata-SJAN,11,0.0003484872485347695
TRAPP complex,serrulata-SJAN,11,0.0003484872485347695
U2-type catalytic step 1 spliceosome,serrulata-SJAN,11,0.0003484872485347695
azurophil granule membrane,serrulata-SJAN,11,0.0003484872485347695
chloroplast starch grain,serrulata-SJAN,11,0.0003484872485347695
endoplasmic reticulum chaperone complex,serrulata-SJAN,11,0.0003484872485347695
eukaryotic translation initiation factor 2B complex,serrulata-SJAN,11,0.0003484872485347695
external side of plasma membrane,serrulata-SJAN,11,0.0003484872485347695
fibrillar center,serrulata-SJAN,11,0.0003484872485347695
heterochromatin,serrulata-SJAN,11,0.0003484872485347695
mRNA cleavage factor complex,serrulata-SJAN,11,0.0003484872485347695
microtubule cytoskeleton,serrulata-SJAN,11,0.0003484872485347695
midbody,serrulata-SJAN,11,0.0003484872485347695
mitochondrial large ribosomal subunit,serrulata-SJAN,11,0.0003484872485347695
oligosaccharyltransferase complex,serrulata-SJAN,11,0.0003484872485347695
plastid large ribosomal subunit,serrulata-SJAN,11,0.0003484872485347695
proteasome storage granule,serrulata-SJAN,11,0.0003484872485347695
replication fork,serrulata-SJAN,11,0.0003484872485347695
root hair tip,serrulata-SJAN,11,0.0003484872485347695
small nucleolar ribonucleoprotein complex,serrulata-SJAN,11,0.0003484872485347695
trans-Golgi network transport vesicle membrane,serrulata-SJAN,11,0.0003484872485347695
translation release factor complex,serrulata-SJAN,11,0.0003484872485347695
Atg1/ULK1 kinase complex,serrulata-SJAN,10,0.0003168065895770632
RISC complex,serrulata-SJAN,10,0.0003168065895770632
Set1C/COMPASS complex,serrulata-SJAN,10,0.0003168065895770632
Ski complex,serrulata-SJAN,10,0.0003168065895770632
TIM23 mitochondrial import inner membrane translocase complex,serrulata-SJAN,10,0.0003168065895770632
TORC1 complex,serrulata-SJAN,10,0.0003168065895770632
VCP-NPL4-UFD1 AAA ATPase complex,serrulata-SJAN,10,0.0003168065895770632
aggresome,serrulata-SJAN,10,0.0003168065895770632
chloroplast ribosome,serrulata-SJAN,10,0.0003168065895770632
collagen-containing extracellular matrix,serrulata-SJAN,10,0.0003168065895770632
cytosolic proteasome complex,serrulata-SJAN,10,0.0003168065895770632
dendritic spine,serrulata-SJAN,10,0.0003168065895770632
eukaryotic translation initiation factor 4F complex,serrulata-SJAN,10,0.0003168065895770632
heterotrimeric G-protein complex,serrulata-SJAN,10,0.0003168065895770632
katanin complex,serrulata-SJAN,10,0.0003168065895770632
lysosomal lumen,serrulata-SJAN,10,0.0003168065895770632
microtubule minus-end,serrulata-SJAN,10,0.0003168065895770632
nuclear chromosome,serrulata-SJAN,10,0.0003168065895770632
nuclear heterochromatin,serrulata-SJAN,10,0.0003168065895770632
nuclear microtubule,serrulata-SJAN,10,0.0003168065895770632
nuclear pore central transport channel,serrulata-SJAN,10,0.0003168065895770632
plastid envelope,serrulata-SJAN,10,0.0003168065895770632
respiratory chain complex I,serrulata-SJAN,10,0.0003168065895770632
t-UTP complex,serrulata-SJAN,10,0.0003168065895770632
vacuolar proton-transporting V-type ATPase complex,serrulata-SJAN,10,0.0003168065895770632
Arp2/3 protein complex,serrulata-SJAN,9,0.00028512593061935686
ER body,serrulata-SJAN,9,0.00028512593061935686
GID complex,serrulata-SJAN,9,0.00028512593061935686
Golgi-associated vesicle,serrulata-SJAN,9,0.00028512593061935686
Mre11 complex,serrulata-SJAN,9,0.00028512593061935686
U6 snRNP,serrulata-SJAN,9,0.00028512593061935686
actin filament bundle,serrulata-SJAN,9,0.00028512593061935686
axoneme,serrulata-SJAN,9,0.00028512593061935686
azurophil granule lumen,serrulata-SJAN,9,0.00028512593061935686
central vacuole,serrulata-SJAN,9,0.00028512593061935686
chromoplast,serrulata-SJAN,9,0.00028512593061935686
ciliary basal body,serrulata-SJAN,9,0.00028512593061935686
