Taxon,Protein ID,Search Term,Phenolic Protein
biennis-EXGW,TRINITY_DN3123_c0_g2_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
biennis-EXGW,TRINITY_DN3970_c1_g1_i1.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 3 {ECO:0000305}
biennis-EXGW,TRINITY_DN4229_c0_g1_i4.p1,Chalcone synthase,Chalcone synthase 2
biennis-EXGW,TRINITY_DN4229_c0_g1_i5.p1,Chalcone synthase,Chalcone synthase 1
biennis-EXGW,TRINITY_DN4229_c0_g1_i3.p1,Chalcone synthase,Chalcone synthase 2
biennis-EXGW,TRINITY_DN4229_c0_g1_i2.p1,Chalcone synthase,Chalcone synthase 2
biennis-EXGW,TRINITY_DN4229_c0_g1_i6.p1,Chalcone synthase,Chalcone synthase 2
biennis-EXGW,TRINITY_DN4286_c1_g1_i1.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
biennis-EXGW,TRINITY_DN4286_c1_g1_i6.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
biennis-EXGW,TRINITY_DN4286_c1_g1_i13.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
biennis-EXGW,TRINITY_DN4286_c1_g1_i8.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
biennis-EXGW,TRINITY_DN4286_c1_g1_i3.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
biennis-EXGW,TRINITY_DN4286_c1_g1_i14.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
biennis-EXGW,TRINITY_DN4572_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
biennis-EXGW,TRINITY_DN4572_c0_g1_i1.p2,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
biennis-EXGW,TRINITY_DN4929_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 2
biennis-EXGW,TRINITY_DN4990_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 2
biennis-EXGW,TRINITY_DN4990_c0_g2_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 3
biennis-EXGW,TRINITY_DN4990_c0_g3_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 2
biennis-EXGW,TRINITY_DN5385_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
biennis-EXGW,TRINITY_DN5385_c0_g1_i3.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
biennis-EXGW,TRINITY_DN5425_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
biennis-EXGW,TRINITY_DN6284_c0_g1_i2.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
biennis-EXGW,TRINITY_DN6284_c0_g1_i3.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
biennis-EXGW,TRINITY_DN7199_c0_g1_i2.p1,Chalcone--flavonone isomerase,Chalcone--flavonone isomerase
biennis-EXGW,TRINITY_DN7199_c0_g1_i1.p1,Chalcone--flavonone isomerase,Chalcone--flavonone isomerase
biennis-EXGW,TRINITY_DN7329_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
biennis-EXGW,TRINITY_DN7838_c0_g2_i1.p1,4-coumarate--CoA ligase,Probable 4-coumarate--CoA ligase 2
biennis-EXGW,TRINITY_DN7838_c0_g3_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 2
biennis-EXGW,TRINITY_DN8615_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
biennis-EXGW,TRINITY_DN9397_c0_g2_i5.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
biennis-EXGW,TRINITY_DN9397_c0_g2_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
biennis-EXGW,TRINITY_DN9931_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
biennis-EXGW,TRINITY_DN9931_c0_g1_i2.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
biennis-EXGW,TRINITY_DN10722_c0_g1_i6.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
biennis-EXGW,TRINITY_DN10722_c0_g1_i5.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase"
biennis-EXGW,TRINITY_DN10722_c0_g1_i1.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase"
biennis-EXGW,TRINITY_DN10722_c0_g1_i4.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase CYP75B137 {ECO:0000305}
biennis-EXGW,TRINITY_DN10722_c0_g1_i2.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
biennis-EXGW,TRINITY_DN14818_c0_g2_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
biennis-EXGW,TRINITY_DN17657_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
biennis-EXGW,TRINITY_DN21375_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
biennis-EXGW,TRINITY_DN24551_c0_g1_i1.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 2 {ECO:0000305}
biennis-EXGW,TRINITY_DN31345_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
clelandii-KBRW,TRINITY_DN187_c0_g4_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
clelandii-KBRW,TRINITY_DN575_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 2
clelandii-KBRW,TRINITY_DN575_c1_g1_i1.p1,Chalcone synthase,Chalcone synthase 2
clelandii-KBRW,TRINITY_DN795_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
clelandii-KBRW,TRINITY_DN795_c0_g3_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
clelandii-KBRW,TRINITY_DN795_c0_g3_i2.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
clelandii-KBRW,TRINITY_DN1243_c0_g2_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
clelandii-KBRW,TRINITY_DN1744_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
clelandii-KBRW,TRINITY_DN1744_c0_g2_i2.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
clelandii-KBRW,TRINITY_DN1744_c0_g2_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase class 2
clelandii-KBRW,TRINITY_DN1744_c0_g3_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
clelandii-KBRW,TRINITY_DN1744_c0_g4_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
clelandii-KBRW,TRINITY_DN1963_c0_g1_i2.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 3 {ECO:0000305}
clelandii-KBRW,TRINITY_DN1963_c0_g2_i3.p2,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 3 {ECO:0000305}
clelandii-KBRW,TRINITY_DN1963_c0_g2_i8.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 3 {ECO:0000305}
clelandii-KBRW,TRINITY_DN2310_c0_g2_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
clelandii-KBRW,TRINITY_DN2499_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
clelandii-KBRW,TRINITY_DN3773_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
clelandii-KBRW,TRINITY_DN4671_c0_g1_i1.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
clelandii-KBRW,TRINITY_DN4671_c0_g2_i4.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
clelandii-KBRW,TRINITY_DN4671_c0_g2_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
clelandii-KBRW,TRINITY_DN4671_c0_g2_i3.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
clelandii-KBRW,TRINITY_DN5251_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 2
clelandii-KBRW,TRINITY_DN5712_c0_g1_i1.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
clelandii-KBRW,TRINITY_DN5921_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
clelandii-KBRW,TRINITY_DN7030_c0_g1_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
clelandii-KBRW,TRINITY_DN7030_c0_g1_i3.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
clelandii-KBRW,TRINITY_DN7273_c0_g1_i1.p1,4-coumarate--CoA ligase,Probable 4-coumarate--CoA ligase 2
clelandii-KBRW,TRINITY_DN7273_c0_g2_i1.p1,4-coumarate--CoA ligase,Probable 4-coumarate--CoA ligase 2
clelandii-KBRW,TRINITY_DN7570_c0_g1_i2.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
clelandii-KBRW,TRINITY_DN8002_c0_g2_i1.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase
clelandii-KBRW,TRINITY_DN8314_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
clelandii-KBRW,TRINITY_DN8314_c0_g2_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
clelandii-KBRW,TRINITY_DN9772_c0_g1_i2.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase"
clelandii-KBRW,TRINITY_DN12368_c0_g1_i2.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
clelandii-KBRW,TRINITY_DN14521_c0_g1_i2.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
clelandii-KBRW,TRINITY_DN14521_c0_g1_i6.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
clelandii-KBRW,TRINITY_DN14521_c0_g1_i1.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
clelandii-KBRW,TRINITY_DN19229_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
clelandii-KBRW,TRINITY_DN20078_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
clelandii-KBRW,TRINITY_DN22510_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
clelandii-KBRW,TRINITY_DN24652_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
clelandii-KBRW,TRINITY_DN26112_c0_g1_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
clelandii-KBRW,TRINITY_DN26405_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase
clelandii-KBRW,TRINITY_DN27208_c0_g1_i1.p1,Chalcone--flavonone isomerase,Chalcone--flavonone isomerase
elata-AJBK,TRINITY_DN105_c0_g1_i8.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
elata-AJBK,TRINITY_DN105_c0_g1_i9.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
elata-AJBK,TRINITY_DN105_c0_g1_i5.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase"
elata-AJBK,TRINITY_DN105_c0_g1_i7.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase"
elata-AJBK,TRINITY_DN105_c0_g1_i3.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase"
elata-AJBK,TRINITY_DN324_c0_g2_i2.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
elata-AJBK,TRINITY_DN324_c0_g2_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
elata-AJBK,TRINITY_DN1042_c0_g1_i25.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
elata-AJBK,TRINITY_DN1042_c0_g1_i9.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
elata-AJBK,TRINITY_DN1042_c0_g1_i19.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
elata-AJBK,TRINITY_DN1042_c0_g1_i2.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
elata-AJBK,TRINITY_DN1042_c0_g1_i14.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
elata-AJBK,TRINITY_DN1042_c0_g1_i23.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
elata-AJBK,TRINITY_DN1042_c0_g1_i11.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
elata-AJBK,TRINITY_DN1042_c0_g1_i5.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
elata-AJBK,TRINITY_DN1042_c0_g2_i1.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
elata-AJBK,TRINITY_DN1177_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase
elata-AJBK,TRINITY_DN1177_c0_g2_i2.p1,Chalcone synthase,Chalcone synthase 1
elata-AJBK,TRINITY_DN1177_c0_g2_i1.p1,Chalcone synthase,Chalcone synthase 2
elata-AJBK,TRINITY_DN1177_c0_g2_i3.p1,Chalcone synthase,Chalcone synthase 1
elata-AJBK,TRINITY_DN1177_c0_g2_i3.p2,Chalcone synthase,Chalcone synthase 1
elata-AJBK,TRINITY_DN1177_c0_g2_i4.p1,Chalcone synthase,Chalcone synthase 1
elata-AJBK,TRINITY_DN1177_c0_g2_i4.p2,Chalcone synthase,Chalcone synthase 1
elata-AJBK,TRINITY_DN1177_c0_g2_i5.p1,Chalcone synthase,Chalcone synthase 1
elata-AJBK,TRINITY_DN1177_c0_g2_i5.p2,Chalcone synthase,Chalcone synthase 1
elata-AJBK,TRINITY_DN1177_c0_g3_i1.p1,Chalcone synthase,Chalcone synthase 2
elata-AJBK,TRINITY_DN1177_c0_g3_i2.p1,Chalcone synthase,Chalcone synthase 2
elata-AJBK,TRINITY_DN2777_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
elata-AJBK,TRINITY_DN2777_c0_g2_i2.p2,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
elata-AJBK,TRINITY_DN2777_c0_g2_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
elata-AJBK,TRINITY_DN3133_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
elata-AJBK,TRINITY_DN3133_c0_g2_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-AJBK,TRINITY_DN3133_c0_g3_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-AJBK,TRINITY_DN3496_c0_g1_i2.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
elata-AJBK,TRINITY_DN3496_c0_g1_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
elata-AJBK,TRINITY_DN4091_c0_g1_i8.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-AJBK,TRINITY_DN4091_c0_g1_i7.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
elata-AJBK,TRINITY_DN4091_c0_g1_i12.p3,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-AJBK,TRINITY_DN4091_c0_g1_i12.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-AJBK,TRINITY_DN4091_c0_g1_i10.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-AJBK,TRINITY_DN4871_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-AJBK,TRINITY_DN6668_c0_g1_i4.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 3 {ECO:0000305}
elata-AJBK,TRINITY_DN6952_c0_g1_i1.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 2 {ECO:0000305}
elata-AJBK,TRINITY_DN6952_c0_g1_i2.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 2 {ECO:0000305}
elata-AJBK,TRINITY_DN8040_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-AJBK,TRINITY_DN8103_c0_g1_i3.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-AJBK,TRINITY_DN8103_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-AJBK,TRINITY_DN10128_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
elata-AJBK,TRINITY_DN11356_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
elata-AJBK,TRINITY_DN11578_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-AJBK,TRINITY_DN11966_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
elata-AJBK,TRINITY_DN12114_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
elata-AJBK,TRINITY_DN12314_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
elata-AJBK,TRINITY_DN13729_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 2
elata-AJBK,TRINITY_DN24300_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
elata-AJBK,TRINITY_DN26193_c0_g1_i3.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
elata-AJBK,TRINITY_DN26193_c0_g1_i5.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
elata-AJBK,TRINITY_DN26193_c0_g1_i5.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
elata-AJBK,TRINITY_DN26415_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
elata-AJBK,TRINITY_DN27506_c0_g1_i1.p1,Chalcone--flavonone isomerase,Chalcone--flavonone isomerase
elata-AJBK,TRINITY_DN27884_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
elata-AJBK,TRINITY_DN31074_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
elata-AJBK,TRINITY_DN31074_c0_g1_i1.p2,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
elata-AJBK,TRINITY_DN32447_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
elata-AJBK,TRINITY_DN32951_c0_g1_i1.p2,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
elata-OEEE,TRINITY_DN291_c0_g1_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase CYP75B137 {ECO:0000305}
elata-OEEE,TRINITY_DN1778_c0_g1_i2.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
elata-OEEE,TRINITY_DN1778_c0_g1_i1.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
elata-OEEE,TRINITY_DN1996_c1_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
elata-OEEE,TRINITY_DN1940_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 2
elata-OEEE,TRINITY_DN2113_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-OEEE,TRINITY_DN2113_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-OEEE,TRINITY_DN2783_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
elata-OEEE,TRINITY_DN2783_c0_g1_i2.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
elata-OEEE,TRINITY_DN6485_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
elata-OEEE,TRINITY_DN6439_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 2
elata-OEEE,TRINITY_DN7350_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-OEEE,TRINITY_DN9037_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
elata-OEEE,TRINITY_DN9191_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 1
elata-OEEE,TRINITY_DN10345_c0_g1_i1.p1,Chalcone--flavonone isomerase,Chalcone--flavonone isomerase
elata-OEEE,TRINITY_DN13289_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
elata-OEEE,TRINITY_DN15443_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 2
elata-OEEE,TRINITY_DN15522_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
elata-OEEE,TRINITY_DN15633_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
elata-OEEE,TRINITY_DN17011_c0_g1_i1.p2,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
elata-OEEE,TRINITY_DN22462_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-OEEE,TRINITY_DN22596_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
elata-OEEE,TRINITY_DN22918_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-OEEE,TRINITY_DN27499_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
elata-OEEE,TRINITY_DN27886_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-OEEE,TRINITY_DN28572_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-OEEE,TRINITY_DN31056_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 2
elata-OEEE,TRINITY_DN33677_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-OEEE,TRINITY_DN34618_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
elata-OEEE,TRINITY_DN35332_c0_g1_i1.p2,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
elata-OEEE,TRINITY_DN35332_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
elata-OEEE,TRINITY_DN35704_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
elata-OEEE,TRINITY_DN36114_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
elata-OEEE,TRINITY_DN36800_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-OEEE,TRINITY_DN37192_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
elata-OEEE,TRINITY_DN37571_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
filiformis-JYOB,TRINITY_DN408_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 2
filiformis-JYOB,TRINITY_DN510_c0_g1_i7.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
filiformis-JYOB,TRINITY_DN510_c0_g1_i7.p2,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
filiformis-JYOB,TRINITY_DN510_c0_g1_i14.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
filiformis-JYOB,TRINITY_DN510_c0_g1_i5.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
filiformis-JYOB,TRINITY_DN510_c0_g1_i9.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
filiformis-JYOB,TRINITY_DN510_c0_g1_i10.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
filiformis-JYOB,TRINITY_DN510_c0_g1_i10.p2,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
filiformis-JYOB,TRINITY_DN510_c0_g1_i6.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
filiformis-JYOB,TRINITY_DN510_c0_g1_i3.p2,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
filiformis-JYOB,TRINITY_DN510_c0_g1_i3.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
filiformis-JYOB,TRINITY_DN510_c0_g1_i11.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
filiformis-JYOB,TRINITY_DN510_c0_g1_i11.p2,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
filiformis-JYOB,TRINITY_DN510_c0_g1_i13.p2,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
filiformis-JYOB,TRINITY_DN510_c0_g1_i13.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
filiformis-JYOB,TRINITY_DN510_c0_g4_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
filiformis-JYOB,TRINITY_DN818_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
filiformis-JYOB,TRINITY_DN871_c0_g2_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
filiformis-JYOB,TRINITY_DN1018_c0_g1_i6.p1,Chalcone synthase,Chalcone synthase 2
